label_id	name	acronym	cell_count	label_volume_pixels
1	Tuberomammillary_nucleus_ventral_part	TMv	15	86970
2	Primary_somatosensory_area_mouth_layer_6b	SSp-m6b	2	493740
3	secondary_fissure	sec	0	0
4	Inferior_colliculus	IC	397	23426460
6	internal_capsule	int	188	9177540
7	Principal_sensory_nucleus_of_the_trigeminal	PSV	10	4345740
8	Basic_cell_groups_and_regions	grey	38	386820
9	Primary_somatosensory_area_trunk_layer_6a	SSp-tr6a	114	991440
10	Superior_colliculus_motor_related_intermediate_gray_layer	SCig	1094	8286840
11	posterolateral_fissure	plf	0	0
12	Interfascicular_nucleus_raph�	IF	18	127800
14	internal_medullary_lamina_of_the_thalamus	im	7	6480
15	Parataenial_nucleus	PT	194	1056780
16	Layer_6b_isocortex	6b	0	0
17	Superior_colliculus_motor_related_intermediate_white_layer	SCiw	1003	8759520
18	nodular_fissure	nf	0	0
19	Induseum_griseum	IG	11	93060
20	Entorhinal_area_lateral_part_layer_2	ENTl2	0	0
21	lateral_olfactory_tract_general	lotg	0	0
22	Posterior_parietal_association_areas	PTLp	0	0
23	Anterior_amygdalar_area	AAA	25	2360160
25	simple_fissure	sif	0	0
26	Superior_colliculus_motor_related_deep_gray_layer	SCdg	468	5190120
27	Intergeniculate_leaflet_of_the_lateral_geniculate_complex	IGL	72	321150
28	Entorhinal_area_lateral_part_layer_6a	ENTl6a	0	0
29	lateral_spinothalamic_tract	sttl	0	0
30	Periventricular_hypothalamic_nucleus_anterior_part	PVa	0	71820
31	Anterior_cingulate_area	ACA	0	0
33	Primary_visual_area_layer_6a	VISp6a	1173	3721920
34	intercrural_fissure	icf	0	0
35	Oculomotor_nucleus	III	39	155160
36	Gustatory_areas_layer_1	GU1	2	696492
37	longitudinal_association_bundle	lab	0	0
38	Paraventricular_hypothalamic_nucleus	PVH	53	1003680
39	Anterior_cingulate_area_dorsal_part	ACAd	0	0
41	posteromedial_visual_area_layer_2/3	VISpm2/3	486	686730
42	Superior_colliculus_motor_related_deep_white_layer	SCdw	119	1460340
43	ansoparamedian_fissure	apf	0	0
44	Infralimbic_area	ILA	0	0
45	Spinal_nucleus_of_the_trigeminal_oral_part_rostral_dorsomedial_part	SPVOrdm	0	0
46	mammillary_related	mfbsma	0	0
47	Paraventricular_hypothalamic_nucleus_magnocellular_division_anterior_magnocellular_part	PVHam	0	0
48	Anterior_cingulate_area_ventral_part	ACAv	0	0
49	intraparafloccular_fissure	ipf	0	0
50	Precommissural_nucleus	PRC	194	317280
51	Intralaminar_nuclei_of_the_dorsal_thalamus	ILM	0	0
52	Entorhinal_area_lateral_part_layer_3	ENTl3	0	0
53	Spinal_nucleus_of_the_trigeminal_oral_part_middle_dorsomedial_part_dorsal_zone	SPVOmdmd	0	0
54	medial_forebrain_bundle	mfb	0	0
55	Paraventricular_hypothalamic_nucleus_parvicellular_division_anterior_parvicellular_part	PVHap	0	0
56	Nucleus_accumbens	ACB	200	16591680
57	paramedian_sulcus	pms	0	0
58	Medial_terminal_nucleus_of_the_accessory_optic_tract	MT	0	0
59	Intermediodorsal_nucleus_of_the_thalamus	IMD	93	557100
60	Entorhinal_area_lateral_part_layer_6b	ENTl6b	0	0
61	Spinal_nucleus_of_the_trigeminal_oral_part_middle_dorsomedial_part_ventral_zone	SPVOmdmv	0	0
62	medial_longitudinal_fascicle	mlf	64	4298940
63	Paraventricular_hypothalamic_nucleus_descending_division	PVHd	19	165960
64	Anterodorsal_nucleus	AD	0	649080
65	parafloccular_sulcus	pfs	0	0
66	Lateral_terminal_nucleus_of_the_accessory_optic_tract	LT	14	25020
67	Interstitial_nucleus_of_Cajal	INC	56	215820
68	Frontal_pole_layer_1	FRP1	0	0
69	Spinal_nucleus_of_the_trigeminal_oral_part_ventrolateral_part	SPVOvl	0	0
70	midbrain_related	mfbsm	0	0
71	Paraventricular_hypothalamic_nucleus_magnocellular_division	PVHm	0	0
72	Anterodorsal_preoptic_nucleus	ADP	5	129600
73	ventricular_systems	VS	100	970470
74	Lateral_visual_area_layer_6a	VISl6a	221	697680
75	Dorsal_terminal_nucleus_of_the_accessory_optic_tract	DT	0	0
76	Interstitial_nucleus_of_the_vestibular_nerve	INV	0	0
77	Spinal_nucleus_of_the_trigeminal_oral_part_caudal_dorsomedial_part	SPVOcdm	0	0
78	middle_cerebellar_peduncle	mcp	19	2891340
79	Paraventricular_hypothalamic_nucleus_magnocellular_division_medial_magnocellular_part	PVHmm	0	0
80	Anterior_hypothalamic_area	AHA	0	0
81	lateral_ventricle	VL	250	9347910
82	Nucleus_of_the_lateral_lemniscus_dorsal_part	NLLd	0	0
83	Inferior_olivary_complex	IO	2	2215800
84	Prelimbic_area_layer_6a	PL6a	15	2118600
85	spinocerebellar_tract	sct	0	0
86	middle_thalamic_commissure	mtc	0	0
87	Paraventricular_hypothalamic_nucleus_parvicellular_division_medial_parvicellular_part_dorsal_zone	PVHmpd	0	0
88	Anterior_hypothalamic_nucleus	AHN	183	2855520
89	rhinocele	RC	0	0
90	Nucleus_of_the_lateral_lemniscus_horizontal_part	NLLh	0	0
91	Interposed_nucleus	IP	2	4066020
92	Entorhinal_area_lateral_part_layer_4	ENTl4	0	0
93	motor_root_of_the_trigeminal_nerve	moV	2	181980
94	Paraventricular_hypothalamic_nucleus_parvicellular_division	PVHp	0	0
95	Agranular_insular_area	AI	0	0
96	Dorsal_cochlear_nucleus	DCO	1	2667060
97	Temporal_association_areas_layer_1	TEa1	3	339444
98	subependymal_zone	SEZ	0	0
99	Nucleus_of_the_lateral_lemniscus_ventral_part	NLLv	0	0
100	Interpeduncular_nucleus	IPN	71	1280700
101	Ventral_cochlear_nucleus	VCO	12	3723840
102	nigrostriatal_tract	nst	0	0
103	Paraventricular_hypothalamic_nucleus_magnocellular_division_posterior_magnocellular_part	PVHpm	0	0
104	Agranular_insular_area_dorsal_part	AId	0	0
105	Superior_olivary_complex_medial_part	SOCm	3	852480
106	Inferior_salivatory_nucleus	ISN	0	28800
107	Somatomotor_areas_Layer_1	MO1	0	0
108	choroid_plexus	chpl	0	0
109	nigrothalamic_fibers	ntt	0	0
110	Paraventricular_hypothalamic_nucleus_parvicellular_division_periventricular_part	PVHpv	0	0
111	Agranular_insular_area_posterior_part	AIp	0	0
112	Granular_lamina_of_the_cochlear_nuclei	CNlam	0	0
113	Primary_somatosensory_area_lower_limb_layer_2/3	SSp-ll2/3	94	1916640
114	Superior_olivary_complex_lateral_part	SOCl	6	720900
115	Trochlear_nucleus	IV	0	30060
116	choroid_fissure	chfl	0	0
117	optic_chiasm	och	3	1341180
118	Periventricular_hypothalamic_nucleus_intermediate_part	PVi	0	563400
119	Agranular_insular_area_ventral_part	AIv	0	0
120	Agranular_insular_area_posterior_part_layer_1	AIp1	5	883836
121	Lateral_visual_area_layer_6b	VISl6b	42	126180
122	Superior_olivary_complex_periolivary_region	POR	1	522180
123	Kolliker-Fuse_subnucleus	KF	0	0
124	interventricular_foramen	IVF	0	0
125	optic_tract	opt	29	2518440
126	Periventricular_hypothalamic_nucleus_posterior_part	PVp	16	495270
127	Anteromedial_nucleus	AM	26	1316880
128	Midbrain_reticular_nucleus	MRN	1672	20118630
129	third_ventricle	V3	159	5412180
130	Superior_central_nucleus_raph�_medial_part	CSm	0	0
131	Lateral_amygdalar_nucleus	LA	275	2405700
132	Prelimbic_area_layer_6b	PL6b	0	89820
133	Periventricular_hypothalamic_nucleus_preoptic_part	PVpo	0	381780
134	pallidotegmental_fascicle	ptf	0	0
135	Nucleus_ambiguus	AMB	0	0
136	Intermediate_reticular_nucleus	IRN	0	8973990
137	Superior_central_nucleus_raph�_lateral_part	CSl	0	0
138	Lateral_group_of_the_dorsal_thalamus	LAT	0	0
139	Entorhinal_area_lateral_part_layer_5	ENTl5	0	0
140	cerebral_aqueduct	AQ	26	1114380
141	Periventricular_region	PVR	0	0
142	pallidothalmic_pathway	pap	0	0
143	Nucleus_ambiguus_ventral_division	AMBv	0	106560
144	Olfactory_tubercle_layers_1-3	OT1-3	0	0
145	fourth_ventricle	V4	17	2748600
146	Pontine_reticular_nucleus	PRNr	194	10668420
147	Locus_ceruleus	LC	0	61740
148	Gustatory_areas_layer_4	GU4	1	484200
149	Paraventricular_nucleus_of_the_thalamus	PVT	429	1538280
150	periventricular_bundle_of_the_hypothalamus	pvbh	0	0
151	Accessory_olfactory_bulb	AOB	0	0
152	Piriform_area_layers_1-3	PIR1-3	0	0
153	lateral_recess	V4r	32	3274740
154	Perihypoglossal_nuclei	PHY	0	0
155	Lateral_dorsal_nucleus_of_thalamus	LD	124	4643280
156	Dorsal_auditory_area_layer_6a	AUDd6a	337	742890
157	Periventricular_zone	PVZ	0	0
158	posterior_commissure	pc	77	237030
159	Anterior_olfactory_nucleus	AON	280	14703390
160	Anterior_olfactory_nucleus_layer_1	AON1	0	0
161	Nucleus_intercalatus	NIS	0	0
162	Laterodorsal_tegmental_nucleus	LDT	48	465300
163	Agranular_insular_area_posterior_part_layer_2/3	AIp2/3	41	2370024
164	central_canal_spinal_cord/medulla	c	0	5850
165	Midbrain_raph�_nuclei	RAmb	0	0
166	premammillary_commissure	pmx	0	0
167	Anterior_olfactory_nucleus_dorsal_part	AONd	0	0
168	Anterior_olfactory_nucleus_layer_2	AON2	0	0
169	Nucleus_prepositus	PRP	15	536400
170	Dorsal_part_of_the_lateral_geniculate_complex	LGd	372	3472800
171	Prelimbic_area_layer_1	PL1	7	1505790
173	Retrochiasmatic_area	RCH	28	1089720
174	preoptic_commissure	poc	0	0
175	Anterior_olfactory_nucleus_external_part	AONe	0	0
177	Nucleus_of_Roller	NR	0	89460
178	Ventral_part_of_the_lateral_geniculate_complex	LGv	475	1783260
179	Anterior_cingulate_area_layer_6a	ACA6a	0	0
180	Gustatory_areas_layer_2/3	GU2/3	3	1231992
181	Nucleus_of_reunions	RE	39	1482120
182	propriohypothalamic_pathways	php	0	0
183	Anterior_olfactory_nucleus_lateral_part	AONl	0	0
184	Frontal_pole_cerebral_cortex	FRP	0	0
185	Parapyramidal_nucleus_deep_part	PPYd	0	0
186	Lateral_habenula	LH	164	1378080
187	Gustatory_areas_layer_5	GU5	2	1748520
188	Accessory_olfactory_bulb_glomerular_layer	AOBgl	2	12420
189	Rhomboid_nucleus	RH	15	243540
190	pyramid	py	4	2511000
191	Anterior_olfactory_nucleus_medial_part	AONm	0	0
192	Cortical_amygdalar_area_anterior_part_layer_1	COAa1	0	0
193	Parapyramidal_nucleus_superficial_part	PPYs	0	0
194	Lateral_hypothalamic_area	LHA	1636	13350540
195	Prelimbic_area_layer_2	PL2	0	0
196	Accessory_olfactory_bulb_granular_layer	AOBgr	0	0
197	Rostral_linear_nucleus_raph�	RL	5	37260
198	pyramidal_decussation	pyd	0	0
199	Anterior_olfactory_nucleus_posteroventral_part	AONpv	0	0
200	Cortical_amygdalar_area_anterior_part_layer_2	COAa2	0	0
201	Primary_somatosensory_area_barrel_field_layer_2/3	SSp-bfd2/3	633	4561020
202	Medial_vestibular_nucleus	MV	1	5236560
203	Linear_nucleus_of_the_medulla	LIN	0	92700
204	Accessory_olfactory_bulb_mitral_layer	AOBmi	3	11070
205	retriculospinal_tract_lateral_part	rstl	0	0
206	Nucleus_raph�_magnus	RM	0	542700
207	Area_postrema	AP	0	210240
208	Cortical_amygdalar_area_anterior_part_layer_3	COAa3	0	0
209	Lateral_vestibular_nucleus	LAV	0	569340
210	Lateral_mammillary_nucleus	LM	10	103680
211	Anterior_cingulate_area_dorsal_part_layer_2/3	ACAd2/3	134	2639520
212	Main_olfactory_bulb_glomerular_layer	MOBgl	0	0
213	retriculospinal_tract_medial_part	rstm	0	0
214	Red_nucleus	RN	220	2620980
215	Anterior_pretectal_nucleus	APN	342	4904370
216	Cortical_amygdalar_area_posterior_part_lateral_zone_layer_1	COApl1	0	0
217	Superior_vestibular_nucleus	SUV	1	1423440
218	Lateral_posterior_nucleus_of_the_thalamus	LP	273	4689750
219	Somatomotor_areas_Layer_2/3	MO2/3	0	0
220	Main_olfactory_bulb_granule_layer	MOBgr	0	0
221	rubroreticular_tract	rrt	0	0
222	Nucleus_raph�_obscurus	RO	0	67860
223	Arcuate_hypothalamic_nucleus	ARH	13	1117260
224	Cortical_amygdalar_area_posterior_part_lateral_zone_layer_2	COApl2	0	0
225	Spinal_vestibular_nucleus	SPIV	4	2555820
226	Lateral_preoptic_area	LPO	108	4144860
227	Anterior_cingulate_area_layer_6b	ACA6b	0	0
228	Main_olfactory_bulb_inner_plexiform_layer	MOBipl	0	0
229	sensory_root_of_the_trigeminal_nerve	sV	0	0
230	Nucleus_raph�_pallidus	RPA	0	157860
231	Anterior_tegmental_nucleus	AT	0	63900
232	Cortical_amygdalar_area_posterior_part_lateral_zone_layer_3	COApl3	0	0
233	Anterolateral_visual_area_layer_5	VISal5	530	692490
234	Temporal_association_areas_layer_4	TEa4	41	350748
235	Lateral_reticular_nucleus	LRN	3	1910160
236	Main_olfactory_bulb_mitral_layer	MOBmi	0	0
237	solitary_tract	ts	0	49320
238	Nucleus_raph�_pontis	RPO	0	161100
239	Anterior_group_of_the_dorsal_thalamus	ATN	0	0
240	Cortical_amygdalar_area_posterior_part_medial_zone_layer_1	COApm1	0	0
241	Posterior_parietal_association_areas_layer_2/3	PTLp2/3	0	0
242	Lateral_septal_nucleus	LS	0	0
243	Dorsal_auditory_area_layer_6b	AUDd6b	52	121440
244	Main_olfactory_bulb_outer_plexiform_layer	MOBopl	0	0
245	spinocervical_tract	scrt	0	0
246	Midbrain_reticular_nucleus_retrorubral_area	RR	103	1890900
247	Auditory_areas	AUD	0	0
248	Cortical_amygdalar_area_posterior_part_medial_zone_layer_2	COApm2	0	0
249	Posterior_auditory_area_layer_6a	AUDpo6a	115	290160
250	Lateral_septal_nucleus_caudal_(caudodorsal)_part	LSc	27	1688400
251	Primary_auditory_area_layer_2/3	AUDp2/3	5	327384
252	Dorsal_auditory_area_layer_5	AUDd5	462	1386750
253	spinohypothalamic_pathway	shp	0	0
254	Retrosplenial_area	RSP	0	0
255	Anteroventral_nucleus_of_thalamus	AV	24	1879740
256	Cortical_amygdalar_area_posterior_part_medial_zone_layer_3	COApm3	0	0
257	posteromedial_visual_area_layer_6a	VISpm6a	259	589110
258	Lateral_septal_nucleus_rostral_(rostroventral)_part	LSr	836	8075340
259	Entorhinal_area_medial_part_ventral_zone_layer_1	ENTmv1	0	0
260	Nucleus_of_the_lateral_olfactory_tract_molecular_layer	NLOT1	14	523080
261	spino-olivary_pathway	sop	0	0
262	Reticular_nucleus_of_the_thalamus	RT	21	5048280
263	Anteroventral_preoptic_nucleus	AVP	8	256140
264	Orbital_area_layer_1	ORB1	0	0
266	Lateral_septal_nucleus_ventral_part	LSv	49	401040
267	Dorsal_peduncular_area_layer_6a	DP6a	0	0
268	Nucleus_of_the_lateral_olfactory_tract_pyramidal_layer	NLOT2	0	0
269	Posterolateral_visual_area_layer_2/3	VISpl2/3	56	360900
270	spinoreticular_pathway	srp	0	0
271	Nucleus_sagulum	SAG	6	409140
272	Anteroventral_periventricular_nucleus	AVPV	0	301680
